序号,日期,价格,涨跌
14,2006-3-9,12852,-8
1,2006-4-17,12758,0
2,2006-4-14,12758,0
3,2006-4-13,12758,0
4,2006-4-12,12758,-2
5,2006-4-11,12760,-3
6,2006-4-10,12763,0
7,2006-4-7,12763,-2
8,2006-4-6,12765,-6
9,2006-4-5,12771,0
10,2006-4-4,12771,2
11,2006-4-3,12769,2
12,2006-3-31,12769,0
13,2006-3-30,12769,-22
14,2006-3-29,12790,0
1,2006-4-30,12736,-3
2,2006-4-29,12739,0
3,2006-4-28,12739,-3
4,2006-4-27,12742,-3
5,2006-4-26,12745,-11
6,2006-4-25,12756,0
7,2006-4-24,12756,0
8,2006-4-21,12756,0
9,2006-4-20,12756,-1
10,2006-4-19,12757,0
11,2006-4-18,12757,-1
1,2006-5-26,12715,-3
2,2006-5-25,12718,-2
3,2006-5-24,12720,-2
4,2006-5-23,12722,0
5,2006-5-22,12722,-1
6,2006-5-19,12723,0
7,2006-5-18,12723,0
8,2006-5-17,12723,-2
9,2006-5-16,12725,2
10,2006-5-15,12723,-2
11,2006-5-12,12725,0
12,2006-5-11,12725,-3
13,2006-5-10,12728,-1
14,2006-5-9,12729,0
15,2006-5-8,12729,-7
1,2006-6-16,12713,0
2,2006-6-15,12713,0
3,2006-6-14,12713,-3
4,2006-6-13,12716,3
5,2006-6-12,12713,0
6,2006-6-9,12713,0
7,2006-6-8,12713,3
8,2006-6-7,12710,2
9,2006-6-6,12708,0
10,2006-6-5,12708,0
11,2006-6-2,12708,-2
12,2006-6-1,12710,-2
13,2006-5-31,12712,-8
14,2006-5-30,12720,2
15,2006-5-29,12718,3
1,2006-7-6,12672,-7
2,2006-7-5,12679,0
3,2006-7-4,12679,0
4,2006-7-3,12679,-8
5,2006-6-30,12687,-6
6,2006-6-29,12693,-14
7,2006-6-28,12707,-2
8,2006-6-27,12709,0
9,2006-6-26,12709,0
10,2006-6-23,12709,0
11,2006-6-22,12709,2
12,2006-6-21,12707,-3
13,2006-6-20,12710,-3
14,2006-6-19,12713,0
1,2006-8-15,12672,0
2,2006-8-14,12672,5
3,2006-8-11,12667,10
4,2006-8-10,12657,5
5,2006-8-9,12652,3
6,2006-8-8,12649,2
7,2006-8-7,12647,0
8,2006-8-4,12647,0
9,2006-8-3,12647,0
10,2006-8-2,12647,1
11,2006-8-2,12647,1
12,2006-8-1,12646,0
13,2006-7-31,12646,0
14,2006-7-28,12646,0
15,2006-7-27,12646,0
1,2006-9-22,12616,-7
2,2006-9-21,12623,-28
3,2006-9-20,12651,-23
4,2006-9-19,12674,-10
5,2006-9-18,12684,-39
6,2006-9-15,12723,-6
7,2006-9-14,12729,-16
8,2006-9-13,12745,9
9,2006-9-12,12736,0
10,2006-9-11,12736,7
11,2006-9-8,12729,6
12,2006-9-7,12723,2
13,2006-9-6,12721,10
14,2006-9-5,12711,7
1,2006-10-13,11892,-2
2,2006-10-12,11894,-16
3,2006-10-11,11910,-7
4,2006-10-10,11917,-49
5,2006-10-9,11966,-58
6,2006-10-8,12024,-52
7,2006-10-7,12076,-5
8,2006-10-6,12081,-39
9,2006-10-5,12120,-255
10,2006-9-30,12375,-10
11,2006-9-29,12385,-31
12,2006-9-28,12416,-77
13,2006-9-27,12493,-71
14,2006-9-26,12564,-43
15,2006-9-25,12607,-9
1,2006-11-3,11380,0
2,2006-11-2,11380,-12
3,2006-11-1,11392,-40
4,2006-10-31,11432,-18
5,2006-10-30,11450,-12
6,2006-10-27,11462,-42
7,2006-10-26,11504,-52
8,2006-10-25,11556,-25
9,2006-10-24,11581,-28
10,2006-10-23,11609,-54
11,2006-10-20,11663,-25
12,2006-10-19,11688,-42
13,2006-10-18,11730,-54
14,2006-10-17,11784,-84
15,2006-10-16,11868,-24
1,2006-11-23,11427,3
2,2006-11-22,11424,5
3,2006-11-21,11419,6
4,2006-11-20,11413,0
5,2006-11-17,11413,3
6,2006-11-16,11410,19
7,2006-11-15,11391,15
8,2006-11-14,11376,17
9,2006-11-13,11359,1
10,2006-11-10,11358,0
11,2006-11-9,11358,0
12,2006-11-8,11358,-10
13,2006-11-7,11368,-9
14,2006-11-6,11377,-3
1,2007-1-22,11738,9
2,2007-1-19,11729,9
3,2007-1-18,11720,8
4,2007-1-17,11712,0
5,2007-1-16,11712,3
6,2007-1-15,11709,8
7,2007-1-12,11701,1
8,2007-1-11,11700,10
9,2007-1-10,11690,6
10,2007-1-9,11684,5
11,2007-1-8,11679,6
12,2007-1-5,11673,10
13,2007-1-4,11663,5
1,2007-2-9,11794,1
2,2007-2-8,11793,1
3,2007-2-7,11792,8
4,2007-2-6,11784,3
5,2007-2-5,11781,10
6,2007-2-2,11771,2
7,2007-2-1,11769,1
8,2007-1-31,11768,1
9,2007-1-30,11767,4
10,2007-1-29,11763,7
11,2007-1-26,11756,7
12,2007-1-25,11749,2
13,2007-1-24,11747,6
14,2007-1-23,11741,3
1,2007-3-2,11804,1
2,2007-3-1,11803,0
3,2007-2-28,11803,1
4,2007-2-27,11802,2
5,2007-2-26,11800,6
6,2007-2-25,11794,0
7,2007-2-17,11794,0
8,2007-2-16,11794,0
9,2007-2-15,11794,0
10,2007-2-14,11794,0
11,2007-2-13,11794,0
12,2007-2-12,11794,0
1,2007-3-23,11847,4
2,2007-3-22,11843,3
3,2007-3-21,11840,1
4,2007-3-20,11839,4
5,2007-3-19,11835,11
6,2007-3-16,11824,2
7,2007-3-15,11822,6
8,2007-3-14,11816,0
9,2007-3-13,11816,0
10,2007-3-12,11816,1
11,2007-3-9,11815,6
12,2007-3-8,11809,4
13,2007-3-7,11805,0
14,2007-3-6,11805,1
15,2007-3-5,11804,0
1,2007-4-12,11853,-3
2,2007-4-11,11856,-1
3,2007-4-10,11857,0
4,2007-4-9,11857,0
5,2007-4-6,11857,0
6,2007-4-5,11857,-1
7,2007-4-4,11858,0
8,2007-4-3,11858,0
9,2007-4-2,11858,2
10,2007-3-30,11856,2
11,2007-3-29,11854,2
12,2007-3-28,11852,2
13,2007-3-27,11850,1
14,2007-3-26,11849,2
1,2007-4-30,11787,0
2,2007-4-29,11787,2
3,2007-4-28,11785,0
4,2007-4-27,11785,-2
5,2007-4-26,11787,3
6,2007-4-25,11784,0
7,2007-4-24,11784,-6
8,2007-4-23,11790,-6
9,2007-4-20,11796,-23
10,2007-4-19,11819,-8
11,2007-4-18,11827,-6
12,2007-4-17,11833,-7
13,2007-4-16,11840,-12
14,2007-4-13,11852,-1
1,2007-5-22,11783,1
2,2007-5-21,11782,0
3,2007-5-18,11782,0
4,2007-5-17,11782,0
5,2007-5-16,11782,0
6,2007-5-15,11782,0
7,2007-5-14,11782,-2
8,2007-5-11,11784,0
9,2007-5-10,11784,-8
10,2007-5-9,11792,5
11,2007-5-8,11787,0
1,2007-6-11,11882,16
2,2007-6-8,11866,10
3,2007-6-7,11856,12
4,2007-6-6,11844,4
5,2007-6-5,11840,7
6,2007-6-4,11833,4
7,2007-6-1,11829,27
8,2007-5-31,11802,3
9,2007-5-30,11799,0
10,2007-5-29,11799,7
11,2007-5-28,11792,3
12,2007-5-25,11789,6
13,2007-5-24,11783,0
14,2007-5-23,11783,0
1,2007-6-29,12506,14
2,2007-6-28,12492,33
3,2007-6-27,12459,42
4,2007-6-26,12417,19
5,2007-6-25,12398,76
6,2007-6-22,12322,42
7,2007-6-21,12280,10
8,2007-6-20,12270,81
9,2007-6-19,12189,128
10,2007-6-18,12061,30
11,2007-6-15,12031,40
12,2007-6-14,11991,19
13,2007-6-13,11972,58
14,2007-6-12,11914,32
1,2007-7-20,12918,40
2,2007-7-19,12878,33
3,2007-7-18,12845,48
4,2007-7-17,12797,27
5,2007-7-16,12770,60
6,2007-7-13,12710,36
7,2007-7-12,12674,19
8,2007-7-11,12655,28
9,2007-7-10,12627,5
10,2007-7-9,12622,25
11,2007-7-6,12597,32
12,2007-7-5,12565,24
13,2007-7-4,12541,20
14,2007-7-3,12521,15
15,2007-7-2,12506,0
1,2007-8-10,13106,-19
2,2007-8-9,13125,-7
3,2007-8-8,13132,-1
4,2007-8-7,13133,8
5,2007-8-6,13125,-4
6,2007-8-3,13129,0
7,2007-8-2,13129,10
8,2007-8-1,13119,20
9,2007-7-31,13099,12
10,2007-7-30,13087,4
11,2007-7-27,13083,-6
12,2007-7-26,13089,41
13,2007-7-25,13048,18
14,2007-7-24,13030,60
15,2007-7-23,12970,52
1,2007-10-9,12116,62
2,2007-10-8,12054,44
3,2007-9-30,12010,-31
4,2007-9-29,12041,-12
5,2007-9-28,12053,-30
6,2007-9-27,12083,-46
7,2007-9-26,12129,-78
8,2007-9-25,12207,-86
9,2007-9-24,12293,-16
10,2007-9-21,12309,-40
11,2007-9-20,12349,-60
1,2007-11-16,12491,0
2,2007-11-15,12491,0
3,2007-11-14,12491,0
4,2007-11-13,12491,-5
5,2007-11-12,12496,20
6,2007-11-9,12476,0
7,2007-11-8,12476,0
8,2007-11-7,12476,0
9,2007-11-6,12476,41
10,2007-11-5,12435,6
11,2007-11-2,12429,0
12,2007-11-1,12429,-9
13,2007-10-31,12438,6
14,2007-10-30,12432,0
1,2008-1-17,12495,3
2,2008-1-16,12492,0
3,2008-1-15,12492,4
4,2008-1-14,12488,1
5,2008-1-11,12487,0
6,2008-1-10,12487,0
7,2008-1-9,12487,3
8,2008-1-8,12484,10
9,2008-1-7,12474,9
10,2008-1-4,12465,5
11,2008-1-3,12460,0
12,2008-1-2,12460,2
13,2007-12-29,12458,0
1,2008-2-26,12600,49
2,2008-2-25,12551,1
3,2008-2-22,12550,3
4,2008-2-21,12547,3
5,2008-2-20,12544,9
6,2008-2-19,12535,0
7,2008-2-18,12535,2
8,2008-2-15,12533,0
9,2008-2-14,12533,2
10,2008-2-13,12531,0
1,2008-3-17,12658,1
2,2008-3-14,12657,0
3,2008-3-13,12657,13
4,2008-3-12,12644,0
5,2008-3-11,12644,0
6,2008-3-10,12644,0
7,2008-3-7,12644,0
8,2008-3-6,12644,1
9,2008-3-5,12643,4
10,2008-3-4,12639,10
11,2008-3-3,12629,0
12,2008-2-29,12629,29
13,2008-2-28,12600,0
14,2008-2-27,12600,0
1,2008-4-25,12650,-2
2,2008-4-24,12652,5
3,2008-4-23,12647,-11
4,2008-4-22,12658,7
5,2008-4-21,12651,0
6,2008-4-18,12651,0
7,2008-4-17,12651,2
8,2008-4-16,12649,3
9,2008-4-15,12646,-2
10,2008-4-14,12648,-2
11,2008-4-11,12650,0
12,2008-4-10,12650,-9
13,2008-4-9,12659,3
14,2008-4-8,12656,3
15,2008-4-7,12653,-10
1,2008-6-5,12702,0
2,2008-6-4,12702,10
3,2008-6-3,12692,2
4,2008-6-2,12690,13
5,2008-5-30,12677,0
6,2008-5-29,12677,-2
7,2008-5-28,12679,-2
8,2008-5-27,12681,3
9,2008-5-26,12678,0
10,2008-5-23,12678,0
11,2008-5-22,12678,8
12,2008-5-21,12670,10
13,2008-5-20,12660,10
14,2008-5-19,12650,5
1,2008-7-15,12680,-6
2,2008-7-14,12686,1
3,2008-7-11,12685,-36
4,2008-7-10,12721,13
5,2008-7-9,12708,2
6,2008-7-8,12706,3
7,2008-7-7,12703,-2
8,2008-7-4,12705,-12
9,2008-7-3,12717,-5
10,2008-7-2,12722,0
11,2008-7-1,12722,9
12,2008-6-30,12713,2
13,2008-6-27,12711,-7
14,2008-6-26,12718,-4
1,2008-8-4,12635,0
2,2008-8-1,12635,+2
3,2008-7-31,12633,+1
4,2008-7-30,12632,-15
5,2008-7-29,12647,-5
6,2008-7-28,12652,-1
7,2008-7-25,12653,-7
8,2008-7-24,12660,-1
9,2008-7-23,12661,-8
10,2008-7-22,12669,1
11,2008-7-21,12668,-12
12,2008-7-18,12680,2
13,2008-7-17,12678,5
14,2008-7-16,12673,-7
1,2008-8-22,12529,-11
2,2008-8-21,12540,-1
3,2008-8-20,12541,0
4,2008-8-19,12541,-41
5,2008-8-18,12582,-10
6,2008-8-15,12592,0
7,2008-8-14,12592,-2
8,2008-8-13,12594,-3
9,2008-8-12,12597,-16
10,2008-8-11,12613,-3
11,2008-8-8,12616,4
12,2008-8-7,12612,0
13,2008-8-6,12612,-7
14,2008-8-5,12619,-16
1,2008-9-12,12410,0
2,2008-9-11,12410,-3
3,2008-9-10,12413,0
4,2008-9-9,12413,-10
5,2008-9-5,12431,-21
6,2008-9-4,12452,-18
7,2008-9-3,12470,-7
8,2008-9-2,12477,-17
9,2008-9-1,12494,-6
10,2008-8-29,12500,3
11,2008-8-28,12497,-3
12,2008-8-27,12500,-26
13,2008-8-26,12526,-3
14,2008-8-25,12529,0
1,2008-9-28,12034,-11
2,2008-9-27,12045,-9
3,2008-9-26,12054,-14
4,2008-9-25,12068,-9
5,2008-9-24,12077,-125
6,2008-9-23,12202,-41
7,2008-9-22,12243,-75
8,2008-9-19,12318,-51
9,2008-9-18,12369,-7
10,2008-9-17,12376,-21
11,2008-9-16,12397,-13
1,2008-12-2,9817,+3
2,2008-12-1,9814,0
3,2008-11-28,9814,+7
4,2008-11-27,9807,+7
5,2008-11-26,9800,+65
6,2008-11-25,9735,+19
7,2008-11-24,9716,0
8,2008-11-21,9716,+7
9,2008-11-20,9709,-6
10,2008-11-19,9715,-5
11,2008-11-18,9720,-81
12,2008-11-17,9801,-6
13,2008-11-14,9807,-69
14,2008-11-13,9876,-194
1,2008-12-22,9905,0
2,2008-12-19,9905,0
3,2008-12-18,9905,+24
4,2008-12-17,9881,+17
5,2008-12-16,9864,0
6,2008-12-15,9864,+1
7,2008-12-12,9863,+17
8,2008-12-11,9846,+7
9,2008-12-10,9839,+2
10,2008-12-9,9837,+4
11,2008-12-8,9833,+5
12,2008-12-5,9828,-25
13,2008-12-4,9853,+11
14,2008-12-3,9842,+25
1,2009-1-9,10013,0
2,2009-1-8,10013,+21
3,2009-1-7,9992,+28
4,2009-1-6,9964,+3
